Date;DETR1;S4248SM144NCEN
01/01/1992;1.081932413;3459
01/02/1992;1.071915632;3458
01/03/1992;1.22951464;4002
01/04/1992;1.389816937;4564
01/05/1992;1.274137792;4221
01/06/1992;1.355269288;4529
01/07/1992;1.324941808;4466
01/08/1992;1.216887519;4137
01/09/1992;1.203406764;4126
01/10/1992;1.231799781;4259
01/11/1992;1.216124477;4240
01/12/1992;1.404096461;4936
01/01/1993;0.85515884;3031
01/02/1993;0.912598334;3261
01/03/1993;1.154831752;4160
01/04/1993;1.20538694;4377
01/05/1993;1.176730332;4307
01/06/1993;1.272944483;4696
01/07/1993;1.199022878;4458
01/08/1993;1.189494364;4457
01/09/1993;1.155746956;4364
01/10/1993;1.113314196;4236
01/11/1993;1.173770577;4500
01/12/1993;1.287686516;4974
01/01/1994;0.790146339;3075
01/02/1994;0.861341831;3377
01/03/1994;1.124932663;4443
01/04/1994;1.071003291;4261
01/05/1994;1.1129257;4460
01/06/1994;1.235011982;4985
01/07/1994;1.063625447;4324
01/08/1994;1.152582576;4719
01/09/1994;1.060819741;4374
01/10/1994;1.023079691;4248
01/11/1994;1.144193219;4784
01/12/1994;1.18074473;4971
01/01/1995;0.794999277;3370
01/02/1995;0.816318813;3484
01/03/1995;0.993510847;4269
01/04/1995;0.923291893;3994
01/05/1995;1.08272111;4715
01/06/1995;1.134654965;4974
01/07/1995;0.957020366;4223
01/08/1995;1.125721209;5000
01/09/1995;0.947312888;4235
01/10/1995;1.012116367;4554
01/11/1995;1.071233282;4851
01/12/1995;1.058944506;4826
01/01/1996;0.806530571;3699
01/02/1996;0.863007804;3983
01/03/1996;0.917704488;4262
01/04/1996;0.988414787;4619
01/05/1996;1.109933832;5219
01/06/1996;1.022188664;4836
01/07/1996;1.038032262;4941
01/08/1996;1.057025404;5062
01/09/1996;0.906005184;4365
01/10/1996;1.034085195;5012
01/11/1996;0.994721047;4850
01/12/1996;1.039211194;5097
01/01/1997;0.761711822;3758
01/02/1997;0.770770427;3825
01/03/1997;0.892315164;4454
01/04/1997;0.923223515;4635
01/05/1997;1.03180668;5210
01/06/1997;0.995798177;5057
01/07/1997;1.024224032;5231
01/08/1997;0.980097471;5034
01/09/1997;0.962214844;4970
01/10/1997;1.028472752;5342
01/11/1997;0.924938105;4831
01/12/1997;1.135758893;5965
01/01/1998;0.718811729;3796
01/02/1998;0.756890851;4019
01/03/1998;0.917430621;4898
01/04/1998;0.948252941;5090
01/05/1998;0.970406243;5237
01/06/1998;1.003934702;5447
01/07/1998;0.996407715;5435
01/08/1998;0.931333148;5107
01/09/1998;1.00045714;5515
01/10/1998;1.007502981;5583
01/11/1998;0.959721568;5346
01/12/1998;1.122638651;6286
01/01/1999;0.716385941;4032
01/02/1999;0.783957568;4435
01/03/1999;0.963571625;5479
01/04/1999;0.959391728;5483
01/05/1999;0.972663357;5587
01/06/1999;1.069814198;6176
01/07/1999;0.968819247;5621
01/08/1999;1.009972706;5889
01/09/1999;0.99457431;5828
01/10/1999;0.993252168;5849
01/11/1999;1.044328361;6180
01/12/1999;1.138629673;6771
01/01/2000;0.710058432;4243
01/02/2000;0.82471379;4952
01/03/2000;0.99578183;6008
01/04/2000;0.88298467;5353
01/05/2000;1.056418548;6435
01/06/2000;1.090309866;6673
01/07/2000;0.916538822;5636
01/08/2000;1.073134342;6630
01/09/2000;0.948428982;5887
01/10/2000;1.013782828;6322
01/11/2000;1.040703579;6520
01/12/2000;1.061021415;6678
01/01/2001;0.80374792;5082
01/02/2001;0.821181866;5216
01/03/2001;0.923557186;5893
01/04/2001;0.919542913;5894
01/05/2001;1.055966851;6799
01/06/2001;1.030831898;6667
01/07/2001;0.98113846;6374
01/08/2001;1.048199166;6840
01/09/2001;0.850571037;5575
01/10/2001;0.994172735;6545
01/11/2001;1.026722028;6789
01/12/2001;1.08112201;7180
01/01/2002;0.767144409;5117
01/02/2002;0.812343788;5442
01/03/2002;0.941873894;6337
01/04/2002;0.965662421;6525
01/05/2002;1.063371632;7216
01/06/2002;0.992090093;6761
01/07/2002;1.016679498;6958
01/08/2002;1.028694191;7070
01/09/2002;0.890790683;6148
01/10/2002;0.999036689;6924
01/11/2002;0.964995329;6716
01/12/2002;1.14115036;7975
01/01/2003;0.75895923;5326
01/02/2003;0.796003941;5609
01/03/2003;0.906522427;6414
01/04/2003;0.948857537;6741
01/05/2003;1.001503394;7144
01/06/2003;0.995920446;7133
01/07/2003;1.052403017;7568
01/08/2003;1.006356663;7266
01/09/2003;0.915154777;6634
01/10/2003;1.047816803;7626
01/11/2003;0.936507889;6843
01/12/2003;1.164141916;8540
01/01/2004;0.764309436;5629
01/02/2004;0.797699582;5898
01/03/2004;0.949115077;7045
01/04/2004;0.952004367;7094
01/05/2004;0.980270368;7333
01/06/2004;1.054393262;7918
01/07/2004;0.966906457;7289
01/08/2004;0.977347937;7396
01/09/2004;0.955589205;7259
01/10/2004;0.953142428;7268
01/11/2004;1.01002764;7731
01/12/2004;1.178937585;9058
01/01/2005;0.720553063;5557
01/02/2005;0.805702121;6237
01/03/2005;0.993948906;7723
01/04/2005;0.931149808;7262
01/05/2005;1.052772415;8241
01/06/2005;1.11456946;8757
01/07/2005;0.932310097;7352
01/08/2005;1.073441406;8496
01/09/2005;0.974486137;7741
01/10/2005;0.967060176;7710
01/11/2005;1.0306741;8247
01/12/2005;1.108523456;8902
01/01/2006;0.752657292;6066
01/02/2006;0.814748282;6590
01/03/2006;0.976059802;7923
01/04/2006;0.900411727;7335
01/05/2006;1.081683949;8843
01/06/2006;1.136862434;9327
01/07/2006;0.946423395;7792
01/08/2006;1.108200287;9156
01/09/2006;0.969365867;8037
01/10/2006;1.038470277;8640
01/11/2006;1.093321249;9128
01/12/2006;1.13931847;9545
01/01/2007;0.788294338;6627
01/02/2007;0.799340791;6743
01/03/2007;0.968144685;8195
01/04/2007;0.921636558;7828
01/05/2007;1.122906062;9570
01/06/2007;1.109048796;9484
01/07/2007;1.003214876;8608
01/08/2007;1.108445044;9543
01/09/2007;0.940346994;8123
01/10/2007;1.113272072;9649
01/11/2007;1.079783692;9390
01/12/2007;1.153564613;10065
01/01/2008;0.810251528;7093
01/02/2008;0.851985385;7483
01/03/2008;0.949278318;8365
01/04/2008;1.006119277;8895
01/05/2008;1.104190925;9794
01/06/2008;1.121164212;9977
01/07/2008;1.070037028;9553
01/08/2008;1.046705833;9375
01/09/2008;1.026641029;9225
01/10/2008;1.103548432;9948
01/11/2008;0.968430411;8758
01/12/2008;1.194716879;10839
01/01/2009;0.798340022;7266
01/02/2009;0.829981143;7578
01/03/2009;0.948547138;8688
01/04/2009;0.997147054;9162
01/05/2009;1.016474033;9369
01/06/2009;1.099598863;10167
01/07/2009;1.025008855;9507
01/08/2009;0.959051457;8923
01/09/2009;0.993471781;9272
01/10/2009;0.969357599;9075
01/11/2009;0.95295264;8949
01/12/2009;1.151091418;10843
01/01/2010;0.694063842;6558
01/02/2010;0.789331412;7481
01/03/2010;0.996677661;9475
01/04/2010;0.988304068;9424
01/05/2010;0.977680973;9351
01/06/2010;1.099921437;10552
01/07/2010;0.943324143;9077
01/08/2010;0.960803406;9273
01/09/2010;0.973116289;9420
01/10/2010;0.969494492;9413
01/11/2010;1.013131237;9866
01/12/2010;1.172818564;11455
01/01/2011;0.704470355;6901
01/02/2011;0.815678061;8014
01/03/2011;0.997777784;9832
01/04/2011;0.939102499;9281
01/05/2011;1.005570839;9967
01/06/2011;1.141164155;11344
01/07/2011;0.913370378;9106
01/08/2011;1.047045392;10469
01/09/2011;1.005728796;10085
01/10/2011;0.955800019;9612
01/11/2011;1.024050537;10328
01/12/2011;1.13531399;11483
01/01/2012;0.738022272;7486
01/02/2012;0.849466403;8641
01/03/2012;0.951749759;9709
01/04/2012;0.921100533;9423
01/05/2012;1.10555545;11342
01/06/2012;1.095835634;11274
01/07/2012;0.95425193;9845
01/08/2012;1.078975559;11163
01/09/2012;0.918758714;9532
01/10/2012;1.033659748;10754
01/11/2012;1.049866688;10953
01/12/2012;1.139585787;11922
01/01/2013;0.800237262;8395
01/02/2013;0.844900531;8888
01/03/2013;0.958427902;10110
01/04/2013;0.992014433;10493
01/05/2013;1.151944925;12218
01/06/2013;1.070486367;11385
01/07/2013;1.04892068;11186
01/08/2013;1.071892329;11462
01/09/2013;0.97871879;10494
01/10/2013;1.073376165;11540
01/11/2013;1.033203269;11138
01/12/2013;1.175778428;12709
01/01/2014;0.789540303;8557
01/02/2014;0.833632798;9059
01/03/2014;0.92282946;10055
01/04/2014;1.004779916;10977
01/05/2014;1.076528933;11792
01/06/2014;1.083889828;11904
01/07/2014;0.995767302;10965
01/08/2014;0.994606103;10981
01/09/2014;0.978183793;10828
01/10/2014;1.064744506;11817
01/11/2014;0.940922306;10470
01/12/2014;1.193045444;13310
01/01/2015;0.750987984;8400
01/02/2015;0.808082012;9062
01/03/2015;0.95364724;10722
01/04/2015;0.985353754;11107
01/05/2015;1.018313661;11508
01/06/2015;1.138925281;12904
01/07/2015;1.044905474;11869
01/08/2015;0.985610561;11224
01/09/2015;1.053008883;12022
01/10/2015;1.046938769;11983
01/11/2015;1.002728322;11506
01/12/2015;1.232914519;14183
01/01/2016;0.749875641;8648
01/02/2016;0.892702559;10321
01/03/2016;1.044565559;12107
01/04/2016;0.982838431;11420
01/05/2016;1.0506209;12238
01/06/2016;1.171590043;13681
01/07/2016;0.935398908;10950
01/08/2016;1.082216186;12700
01/09/2016;1.043171846;12272
01/10/2016;1.009491685;11905
01/11/2016;1.100997511;13016
01/12/2016;1.21686452;14421
01/01/2017;0.761202187;9043
01/02/2017;0.877667708;10452
01/03/2017;1.045504459;12481
01/04/2017;0.960246364;11491
01/05/2017;1.129158055;13545
01/06/2017;1.224988139;14730
01/07/2017;0.947106947;11416
01/08/2017;1.109208285;13402
01/09/2017;0.983120532;11907
01/10/2017;1.047002052;12711
01/11/2017;1.089707547;13261
01/12/2017;1.169428802;14265
01/01/2018;0.782190161;9564
01/02/2018;0.849777564;10415
01/03/2018;1.032389562;12683
01/04/2018;0.967920013;11919
01/05/2018;1.145428707;14138
01/06/2018;1.178717648;14583
01/07/2018;1.019283949;12640
01/08/2018;1.147001082;14257
01/09/2018;0.994963541;12396
01/10/2018;1.114217214;13914
01/11/2018;1.132413117;14174
01/12/2018;1.235814091;15504
